user_id,username,rank_id,url_index,banner_url
35197,marcistar,917,1,https://i.postimg.cc/rwMYNkc4/scummieshannibal2.png
38222,Meaty The Snowman,1030,1,https://forum.mafiascum.net/images/banners/pridebi1.png
35964,MegAzumarill,857,1,https://forum.mafiascum.net/images/banners/pride5.png
19713,Mitillos,1037,1,https://i.postimg.cc/FRhWQqXn/mashterstroke.png
27855,Mizzytastic,919,1,https://forum.mafiascum.net/images/banners/prideace.png
27855,Mizzytastic,919,2,https://forum.mafiascum.net/images/banners/prideagender.png
37319,Mucho Man Randy Passion,861,1,https://forum.mafiascum.net/images/banners/pride5.png
34705,MUSHSHAGANA,892,1,https://forum.mafiascum.net/images/banners/pridevoidpunk.png
34705,MUSHSHAGANA,892,2,https://forum.mafiascum.net/images/banners/pridenb.png
33598,Naerys,1027,1,https://forum.mafiascum.net/images/banners/prideace.png
37537,Nectarine,904,1,https://forum.mafiascum.net/images/banners/pridegendafooid.png
37537,Nectarine,904,2,https://forum.mafiascum.net/images/banners/pridebi1.png
34775,nepenthe,988,1,https://forum.mafiascum.net/images/banners/pridebi1.png
13942,Nexus,422,1,https://forum.mafiascum.net/images/banners/pridegay4.png
37783,NicoleAndDime,915,1,https://forum.mafiascum.net/images/banners/pride5.png
38192,Oatmeal the Snowman,1026,1,https://forum.mafiascum.net/images/banners/pridegendafooid.png
38192,Oatmeal the Snowman,1026,2,https://forum.mafiascum.net/images/banners/pridegay4.png
35331,OopsieDaisy,877,1,https://forum.mafiascum.net/images/banners/pridebi1.png
35331,OopsieDaisy,877,2,https://forum.mafiascum.net/images/banners/pride5.png
34977,ORAM,861,1,https://forum.mafiascum.net/images/banners/pride5.png
19685,penguin_alien,863,1,https://forum.mafiascum.net/images/banners/pridegay4.png
1673,petroleumjelly,164,1,https://forum.mafiascum.net/images/banners/pridemlm.png
1673,petroleumjelly,164,2,https://forum.mafiascum.net/images/banners/pridegay4.png
37997,PhantomMuzzles,1007,1,https://forum.mafiascum.net/images/banners/clashbanner6.png
37512,Pink,888,1,https://forum.mafiascum.net/images/banners/pridegay4.png
355,PookyTheMagicalBear,93,1,https://i.ibb.co/9kHBCW1K/pooky.gif
26458,Postie,876,1,https://forum.mafiascum.net/images/banners/pridenb.png
26458,Postie,876,2,https://forum.mafiascum.net/images/banners/pridebi1.png
37473,Primal Thunder,875,1,https://forum.mafiascum.net/images/banners/pridearoace.png
37819,Purpler,951,1,https://forum.mafiascum.net/images/banners/pridegendafooid.png
27045,Radical Rat,859,1,https://forum.mafiascum.net/images/banners/pridenb.png
27045,Radical Rat,859,2,https://forum.mafiascum.net/images/banners/pridepan.png
37695,rBree2,922,1,https://forum.mafiascum.net/images/banners/pridelesbian.png
37695,rBree2,922,2,https://forum.mafiascum.net/images/banners/pride5.png
32137,Relm,903,1,https://forum.mafiascum.net/images/banners/pride5.png
32137,Relm,903,2,https://forum.mafiascum.net/images/banners/pridelesbian.png
33613,RH9,863,1,https://forum.mafiascum.net/images/banners/pridegay4.png
35782,Roden,866,1,https://forum.mafiascum.net/images/banners/pridebi1.png
37637,Roxas,944,1,https://forum.mafiascum.net/images/banners/pride5.png
37837,santygrass,990,1,https://forum.mafiascum.net/images/banners/pridebi1.png
629,Save The Dragons,68,1,https://forum.mafiascum.net/images/banners/pridemlm.png
